,,,,,Location,,,,,,,,,,,,,,,,cancer data,scArches mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level_1,Level_2,Level_3,Level_4,Level_5,Nasal,Bronchial,Parenchyma,Banovich_Kropski_2020,Barbry_Leroy_2020,Jain_Misharin_2021,Krasnow_2020,Meyer_2019,Lafyatis_Rojas_2019,Meyer_2021,Meyer_Nikolic_2021,Misharin_2021,Misharin_Budinger_2018,Nawijn_2021,Seibold_2020,Teichmann_Meyer_2019,Thienpont_2018,Kaminski_2020,Schiller2021,Banovich_Kropski_2020_disease,Regev2021,Misharin_Budinger_2018_disease,Eils_2020,Zhang2021,Sims2019,Sheppard_2020,Lafyatis2019,Shalek2018,PeerMassague2020,Budinger2021,Janssen2020,Wunderink2021,Xu2020,Gomperts2021,Lambrechts2021,BarbryX,Duong_lungMAP_unpubl,Sun_2020,,Suggested annotation depth for probesets,,Expected spatial location,,cell ontology curie,cell ontology label,organ ontology curie,organ ontology label
Epithelial,>,,,,,,,,,,,,,,,,Alveolar epithelial type 2 cells + Secretory cells,,,,Epithelial,,,Proliferating Epithelial Cells,,Proliferating epithelial,,,,Epithelial,,,,,,,,,,,,,,,,,,CL:0000066,epithelial cell,UBERON:0000483,epithelium
|,Airway epithelium,>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL:0002368,respiratory epithelial cell,UBERON:0004802,respiratory tract epithelium
|,|,Basal,>,,,,,Basal,,,Basal,,,Basal,,,,Basal - Basal cells,,,,Basal,,Basal,,KRT5 Basal cells,,,,,,,,,,,,,,,Basal,basal cells,,,,,,CL:0002633,respiratory basal cell,,
|,|,Basal,>,,,,,,,,,,,,,,,Basal_airway_epithelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,Basal,>,,,,,,,,,,,,,,,Basal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,Basal resting,,,,,,Basal,,Proximal Basal,,,,,SC88_C0_Basal_resting,,Basal 1,,Basal 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,Suprabasal,,,,,Differentiating basal,Suprabasal,Suprabasal,Differentiating Basal,,,Suprabasal,,SC88_C3_Suprabasal,,Basal - Suprabasal cells,Differentiating.basal,Basal 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,Suprabasal,,,,,Differentiating secretory,Suprabasal N,,,,,,,,,Basal 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,Basal proliferating,,,,,,,Basal cycling,Proliferating Basal,,,Dividing_Basal,,SC88_C12_Basal_cells_proliferating,"Epithelial cells, proliferating",Basal - Cycling cells,Proliferating.basal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,Basal TP63,,,,,,,,,,,,,SC88_C10_Basal_cells_TP63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,Basal activated,,,,,,,,,,,,,SC88_C15_Basal_activated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,Basal KRT13 cornified,,,,,,,,,,,,,SC88_C17_KRT13_cornified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,Proteasomal basal,,,,,,,,,,,,,,,,Proteasomal.basal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,KRT8 high basal,,,,,,,,,,,,,,,,KRT8.high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,Hillock,,,,,,,,,,,,,,,Basal - Hillock cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,Multiciliated lineage,>,,,,,Ciliated,,,,,,,,,,,,,,Ciliated,,Ciliated,,Ciliated,Ciliated,,,,,,,,,,,,,,,,,,,,,CL:0005012,multi-ciliated epithelial cell,,
|,|,|,Deuterosomal,,,,,Differentiating Ciliated,Deuterosomal,Deuterosomal cells,,,,Deuterosomal,,,,Secretory - Deuterosomal,Hybrid.secretory.early.ciliating,,,,,Differentiating Ciliated,,,,,,,,,,,,,,,,,Multiciliated diff,,,,,,,,,,
|,|,|,Deuterosomal,,,,,,,,,,,,,,,Deuterosomal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,Deuterosomal,,,,,,,,,,,,,,,Ciliated - Deuterosomal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,Multiciliated,>,,,,,,Multiciliated,Proximal Ciliated,Ciliated,9 Ciliated Cell,Ciliated,,SC88_C1_Ciliated_1,Ciliated cells,Ciliated,Mature.ciliated.A,Ciliated 1,,,,,,,,,,,,,,,,,,,,,Multiciliated 1,ciliated cells,,,,,,,,,
|,|,|,Multiciliated,>,,,,,,,Ciliated,,,,,SC88_C2_Ciliated_2,,Multiciliated cells,Mature.ciliated.B,Ciliated 2,,,,,,,,,,,,,,,,,,,,,Multiciliated 2,,,,,,,,,,
|,|,|,Multiciliated,>,,,,,,,,,,,,SC88_C4_Ciliated_3,,Ciliated - Ciliated cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,Multiciliated,>,,,,,,,,,,,,SC85_C8_Ciliated_1,,Ciliated - Basal cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,Multiciliated,>,,,,,,,,,,,,SC85_C10_Ciliated_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,Multiciliated,>,,,,,,,,,,,,Ciliated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,|,Multiciliated (nasal),,,,,Multiciliated N,,,,,,,,,Ciliated(Nasal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,|,Multiciliated (non-nasal),,,,,Multiciliated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,Mucous ciliated,,,,,,,Mucus multiciliated,,,,,,,,Ciliated - Mucous ciliated cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,Secretory,>,,,,,,,,,,,SMG_Duct,,Secr,Secretory cells,Secretory,,,,,,,,Secretory,,,,,,,,,,,,,,,,,,,,,,CL:1000272,lung secretory cell,,
|,|,|,Club,>,,,,Secretory - SCGB3A1+,,Club,Club,,12 Club,Secretory_Club,,SC88_C5_Club,,Secretory - Club cells,,Club,,Club,,SCGB3A2+ SCGB1A1+,,,Club,,,,,,,,,,,,,,Club,club cells,,,,,,,,,
|,|,|,Club,>,,,,Secretory - SCGB1A1+/SCGB3A2+,Secretory,,,,,,,SC85_C7_Club,,Secretory_Club,Mucus.secretory,,,,,SCGB3A2+,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,Club,>,,,,Secretory - SCGB1A1+,,,,,,,,SC86_C23_Club,,Secretory - Basal cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,Club,>,,,,Secretory - SCGB3A1+/MUC5B+,,,,,,,,,,Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,Club,>,,,,Secretory - SCGB1A1+/MUC5B+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,|,Club (non-nasal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,|,Club (nasal),,,,,Secretory N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,Goblet,>,,,,Secretory - MUC5AC+,,Goblet,Goblet,,,Secretory_Goblet,,SC88_C8_Goblet,,Secretory - Goblet cells,Mature.mucus.secretory,,,Goblet,,MUC5AC+ High,,,,,,,,,,,,,,,,,Goblet,goblet cells,,,,,,,,,
|,|,|,Goblet,>,,,,Secretory - SCGB3A2+,,,,,,,,,,Secretory_Goblet,,,,,,MUC5B+,,,,,,,,,,,,,,,,,,,,,,,,,,,
